"productkey","productalternatekey","product_name","productcategorykey","productcategoryalternatekey","product_category","productsubcategorykey","productsubcategoryalternatekey","product_subcategory"
338,"BK-R50B-44","Road-650 Black, 44",1,1,"Bikes",2,2,"Road Bikes"
339,"BK-R50B-44","Road-650 Black, 44",1,1,"Bikes",2,2,"Road Bikes"
340,"BK-R50B-48","Road-650 Black, 48",1,1,"Bikes",2,2,"Road Bikes"
341,"BK-R50B-48","Road-650 Black, 48",1,1,"Bikes",2,2,"Road Bikes"
342,"BK-R50B-52","Road-650 Black, 52",1,1,"Bikes",2,2,"Road Bikes"
343,"BK-R50B-52","Road-650 Black, 52",1,1,"Bikes",2,2,"Road Bikes"
344,"BK-M82S-38","Mountain-100 Silver, 38",1,1,"Bikes",1,1,"Mountain Bikes"
345,"BK-M82S-42","Mountain-100 Silver, 42",1,1,"Bikes",1,1,"Mountain Bikes"
346,"BK-M82S-44","Mountain-100 Silver, 44",1,1,"Bikes",1,1,"Mountain Bikes"
347,"BK-M82S-48","Mountain-100 Silver, 48",1,1,"Bikes",1,1,"Mountain Bikes"
348,"BK-M82B-38","Mountain-100 Black, 38",1,1,"Bikes",1,1,"Mountain Bikes"
349,"BK-M82B-42","Mountain-100 Black, 42",1,1,"Bikes",1,1,"Mountain Bikes"
350,"BK-M82B-44","Mountain-100 Black, 44",1,1,"Bikes",1,1,"Mountain Bikes"
351,"BK-M82B-48","Mountain-100 Black, 48",1,1,"Bikes",1,1,"Mountain Bikes"
352,"BK-M68S-38","Mountain-200 Silver, 38",1,1,"Bikes",1,1,"Mountain Bikes"
353,"BK-M68S-38","Mountain-200 Silver, 38",1,1,"Bikes",1,1,"Mountain Bikes"
354,"BK-M68S-42","Mountain-200 Silver, 42",1,1,"Bikes",1,1,"Mountain Bikes"
355,"BK-M68S-42","Mountain-200 Silver, 42",1,1,"Bikes",1,1,"Mountain Bikes"
356,"BK-M68S-46","Mountain-200 Silver, 46",1,1,"Bikes",1,1,"Mountain Bikes"
357,"BK-M68S-46","Mountain-200 Silver, 46",1,1,"Bikes",1,1,"Mountain Bikes"
358,"BK-M68B-38","Mountain-200 Black, 38",1,1,"Bikes",1,1,"Mountain Bikes"
359,"BK-M68B-38","Mountain-200 Black, 38",1,1,"Bikes",1,1,"Mountain Bikes"
360,"BK-M68B-42","Mountain-200 Black, 42",1,1,"Bikes",1,1,"Mountain Bikes"
361,"BK-M68B-42","Mountain-200 Black, 42",1,1,"Bikes",1,1,"Mountain Bikes"
362,"BK-M68B-46","Mountain-200 Black, 46",1,1,"Bikes",1,1,"Mountain Bikes"
363,"BK-M68B-46","Mountain-200 Black, 46",1,1,"Bikes",1,1,"Mountain Bikes"
364,"BK-M47B-38","Mountain-300 Black, 38",1,1,"Bikes",1,1,"Mountain Bikes"
365,"BK-M47B-40","Mountain-300 Black, 40",1,1,"Bikes",1,1,"Mountain Bikes"
366,"BK-M47B-44","Mountain-300 Black, 44",1,1,"Bikes",1,1,"Mountain Bikes"
367,"BK-M47B-48","Mountain-300 Black, 48",1,1,"Bikes",1,1,"Mountain Bikes"
368,"BK-R89R-44","Road-250 Red, 44",1,1,"Bikes",2,2,"Road Bikes"
369,"BK-R89R-48","Road-250 Red, 48",1,1,"Bikes",2,2,"Road Bikes"
370,"BK-R89R-52","Road-250 Red, 52",1,1,"Bikes",2,2,"Road Bikes"
371,"BK-R89R-58","Road-250 Red, 58",1,1,"Bikes",2,2,"Road Bikes"
372,"BK-R89R-58","Road-250 Red, 58",1,1,"Bikes",2,2,"Road Bikes"
373,"BK-R89B-44","Road-250 Black, 44",1,1,"Bikes",2,2,"Road Bikes"
374,"BK-R89B-44","Road-250 Black, 44",1,1,"Bikes",2,2,"Road Bikes"
375,"BK-R89B-48","Road-250 Black, 48",1,1,"Bikes",2,2,"Road Bikes"
376,"BK-R89B-48","Road-250 Black, 48",1,1,"Bikes",2,2,"Road Bikes"
377,"BK-R89B-52","Road-250 Black, 52",1,1,"Bikes",2,2,"Road Bikes"
378,"BK-R89B-52","Road-250 Black, 52",1,1,"Bikes",2,2,"Road Bikes"
379,"BK-R89B-58","Road-250 Black, 58",1,1,"Bikes",2,2,"Road Bikes"
380,"BK-R89B-58","Road-250 Black, 58",1,1,"Bikes",2,2,"Road Bikes"
381,"BK-R64Y-38","Road-550-W Yellow, 38",1,1,"Bikes",2,2,"Road Bikes"
382,"BK-R64Y-38","Road-550-W Yellow, 38",1,1,"Bikes",2,2,"Road Bikes"
383,"BK-R64Y-40","Road-550-W Yellow, 40",1,1,"Bikes",2,2,"Road Bikes"
384,"BK-R64Y-40","Road-550-W Yellow, 40",1,1,"Bikes",2,2,"Road Bikes"
385,"BK-R64Y-42","Road-550-W Yellow, 42",1,1,"Bikes",2,2,"Road Bikes"
386,"BK-R64Y-42","Road-550-W Yellow, 42",1,1,"Bikes",2,2,"Road Bikes"
387,"BK-R64Y-44","Road-550-W Yellow, 44",1,1,"Bikes",2,2,"Road Bikes"
388,"BK-R64Y-44","Road-550-W Yellow, 44",1,1,"Bikes",2,2,"Road Bikes"
389,"BK-R64Y-48","Road-550-W Yellow, 48",1,1,"Bikes",2,2,"Road Bikes"
390,"BK-R64Y-48","Road-550-W Yellow, 48",1,1,"Bikes",2,2,"Road Bikes"
